"Target","Standardized_Molecule (InChI Key)","ActivityValue[MicroM]","Molecule_CanonicalSmiles","Molecule_name"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",13.100865862570288,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",7.140029399278444,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",0.005000345349769783,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",0.093993971476678,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",5.339492735741767,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",12.499711805783697,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",0.06749941361219489,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",7.000031591308975,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",38.238425365811224,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",8.089096194098305,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",7.140029399278444,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",13.100865862570288,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",12.499711805783697,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",0.22998525866862007,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",0.4600446663934779,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",2.3999378768098816,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",12.499711805783697,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",57.99626158196422,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",6.2994118054855806,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",7.140029399278444,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",8.089096194098305,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",10.199995965937212,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","JKKFKPJIXZFSSB-UHFFFAOYSA-N",20.897772644570423,"CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O","estrone 3-sulfate"
"OATP1B1","MTKNDAQYHASLID-UHFFFAOYSA-N",3.710222886174651,"CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O","17beta-estradiol 17beta-d-glucuronide"
"OATP1B1","MTKNDAQYHASLID-UHFFFAOYSA-N",8.199738454574753,"CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O","17beta-estradiol 17beta-d-glucuronide"
"OATP1B1","MTKNDAQYHASLID-UHFFFAOYSA-N",7.500668987360679,"CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O","17beta-estradiol 17beta-d-glucuronide"
"OATP1B1","MTKNDAQYHASLID-UHFFFAOYSA-N",6.599332342635639,"CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O","17beta-estradiol 17beta-d-glucuronide"
"OATP1B1","MTKNDAQYHASLID-UHFFFAOYSA-N",15.198474529284791,"CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O","17beta-estradiol 17beta-d-glucuronide"
"OATP1B1","MTKNDAQYHASLID-UHFFFAOYSA-N",21.99885109049247,"CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O","17beta-estradiol 17beta-d-glucuronide"
"OATP1B1","MTKNDAQYHASLID-UHFFFAOYSA-N",0.8999119108700523,"CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O","17beta-estradiol 17beta-d-glucuronide"
"OATP1B1","MTKNDAQYHASLID-UHFFFAOYSA-N",4.199523346640656,"CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O","17beta-estradiol 17beta-d-glucuronide"
"OATP1B1","MTKNDAQYHASLID-UHFFFAOYSA-N",10.500258721108851,"CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O","17beta-estradiol 17beta-d-glucuronide"
"OATP1B1","MTKNDAQYHASLID-UHFFFAOYSA-N",18.599445632225756,"CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O","17beta-estradiol 17beta-d-glucuronide"
"OATP1B1","MTKNDAQYHASLID-UHFFFAOYSA-N",26.199922097727615,"CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O","17beta-estradiol 17beta-d-glucuronide"
"OATP1B1","MTKNDAQYHASLID-UHFFFAOYSA-N",12.000518202042658,"CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O","17beta-estradiol 17beta-d-glucuronide"
"OATP1B1","MTKNDAQYHASLID-UHFFFAOYSA-N",31.90068435975212,"CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O","17beta-estradiol 17beta-d-glucuronide"
"OATP1B1","MTKNDAQYHASLID-UHFFFAOYSA-N",5.50047252867634,"CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O","17beta-estradiol 17beta-d-glucuronide"
"OATP1B1","MTKNDAQYHASLID-UHFFFAOYSA-N",5.900651969956664,"CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O","17beta-estradiol 17beta-d-glucuronide"
"OATP1B1","MTKNDAQYHASLID-UHFFFAOYSA-N",5.400077590665929,"CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O","17beta-estradiol 17beta-d-glucuronide"
"OATP1B1","MTKNDAQYHASLID-UHFFFAOYSA-N",8.000184448550995,"CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O","17beta-estradiol 17beta-d-glucuronide"
"OATP1B1","MTKNDAQYHASLID-UHFFFAOYSA-N",3.5999792704335687,"CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O","17beta-estradiol 17beta-d-glucuronide"
"OATP1B1","MTKNDAQYHASLID-UHFFFAOYSA-N",8.199738454574753,"CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O","17beta-estradiol 17beta-d-glucuronide"
